TimestampRx	TimestampTx	AccX	AccY	AccZ	MagnX	MagnY	MagnZ	GyroX	GyroY	GyroZ	qW	qX	qY	qZ	HDR_AccX	HDR_AccY	HDR_AccZ
0	30717	-65	-38	-660	315	-416	-244	-277.125	-355.0625	-31.5625	0.5640191	0.8120306	-0.1405935	-0.05217462	0	0	0
15	30737	11	-3	-993	323	-419	-238	1.5625	8.4375	1.75	0.2826732	0.904497	-0.3176742	-0.03262082	0	0	0
31	30757	11	-6	-996	325	-417	-236	-1.0625	2.1875	1.5	0.1867404	0.9115687	-0.3656032	-0.02246851	0	0	0
31	30777	3	-8	-991	327	-418	-240	-1.9375	1.875	1.5625	0.1385711	0.9113016	-0.3873571	-0.01679437	0	0	0
0	30797	5	-2	-998	325	-416	-243	-1.625	1.875	1.4375	0.1099668	0.9100065	-0.3995282	-0.01313853	0	0	0
31	30817	14	-8	-996	321	-415	-230	-1.875	1.9375	1.4375	0.09110883	0.9083577	-0.4080243	-0.01007642	0	0	0
31	30837	0	-5	-994	325	-413	-240	-2.0625	2.0625	1.5	0.07734017	0.9071924	-0.4134664	-0.008124576	0	0	0
15	30857	9	-3	-996	324	-411	-236	-1.8125	1.875	1.5	0.0671032	0.9063248	-0.417168	-0.006584048	0	0	0
15	30877	10	-5	-996	320	-414	-234	-1.875	1.8125	1.5	0.05913766	0.9053533	-0.4204898	-0.005152686	0	0	0
15	30897	5	-4	-994	317	-413	-234	-1.9375	1.875	1.625	0.05255564	0.9044086	-0.4233989	-0.004038368	0	0	0
15	30916	9	-4	-994	318	-414	-237	-2	2.0625	1.75	0.04731578	0.9034971	-0.4259637	-0.003029346	0	0	0
31	30936	7	-4	-994	321	-415	-233	-1.875	1.875	1.4375	0.04289884	0.9027777	-0.4279574	-0.002141049	0	0	0
15	30956	5	-4	-999	319	-414	-234	-1.5	2	1.4375	0.03833288	0.9019651	-0.4301024	-0.00120349	0	0	0
15	30976	5	-5	-994	317	-416	-231	-1.8125	2.125	1.4375	0.03514497	0.9014148	-0.4315273	-0.0006695057	0	0	0
15	30996	9	-11	-997	319	-410	-233	-1.75	2	1.25	0.0322707	0.9010119	-0.4325923	-0.0001508164	0	0	0
31	31016	5	-5	-990	315	-414	-238	-1.8125	2	1.5	0.02988486	0.9004459	-0.4339399	0.0003668111	0	0	0
15	31036	6	-8	-993	320	-417	-229	-1.875	2.1875	1.75	0.02768937	0.9000044	-0.4349996	0.000860167	0	0	0
15	31056	8	-5	-998	321	-415	-232	-1.625	1.75	1.375	0.02576411	0.8996522	-0.4358441	0.001377994	0	0	0
31	31076	10	-5	-996	321	-416	-232	-1.75	2	1.75	0.02407977	0.8993199	-0.4366241	0.001820491	0	0	0
