TimestampRx	TimestampTx	AccX	AccY	AccZ	MagnX	MagnY	MagnZ	GyroX	GyroY	GyroZ	qW	qX	qY	qZ	HDR_AccX	HDR_AccY	HDR_AccZ
0	36417	-112	-37	-480	313	-416	-455	-276.8125	-351.4375	-31.6875	0.7691228	0.6389884	-0.01189727	-0.001536232	0	0	0
15	36437	6	-6	-994	317	-416	-453	1.5625	8.4375	1.5625	0.4565615	0.8534955	-0.2502066	-0.02221642	0	0	0
31	36457	9	-6	-990	319	-418	-448	-1.0625	2.625	1.5625	0.3154083	0.8913946	-0.3248826	-0.01961299	0	0	0
15	36477	7	-4	-994	322	-410	-458	-1.8125	2.25	1.1875	0.2388522	0.9025254	-0.357944	-0.0165415	0	0	0
31	36497	9	-2	-996	317	-411	-453	-1.9375	2.125	1.5	0.1913352	0.9059679	-0.3773926	-0.01371012	0	0	0
15	36517	11	-3	-998	320	-413	-448	-1.875	2.1875	1.25	0.1589803	0.9069648	-0.3898824	-0.01149093	0	0	0
15	36537	9	-5	-995	320	-414	-450	-1.625	2.1875	1.5625	0.1354131	0.9068835	-0.3989119	-0.009744077	0	0	0
15	36557	6	-3	-992	315	-417	-455	-1.8125	1.9375	1.5625	0.1174695	0.9061592	-0.4062138	-0.008160441	0	0	0
31	36577	5	-5	-999	315	-415	-450	-1.9375	1.875	1.4375	0.103334	0.9054522	-0.4116194	-0.006916788	0	0	0
31	36597	16	-6	-993	326	-414	-447	-1.9375	1.875	1.375	0.09180623	0.9050633	-0.4152101	-0.005728673	0	0	0
15	36616	9	-2	-996	319	-412	-452	-1.75	2.125	1.5	0.08237531	0.9043722	-0.4186932	-0.004612278	0	0	0
15	36636	5	-3	-996	318	-416	-442	-1.9375	2.1875	1.5625	0.07445914	0.9036035	-0.421832	-0.003807522	0	0	0
15	36656	3	-4	-990	313	-415	-446	-1.5	2.0625	1.5625	0.06635822	0.9027048	-0.4251028	-0.002879176	0	0	0
15	36676	10	-2	-1005	317	-419	-444	-1.875	2.25	1.3125	0.06065366	0.9020026	-0.4274431	-0.002176505	0	0	0
