TimestampRx	TimestampTx	AccX	AccY	AccZ	MagnX	MagnY	MagnZ	GyroX	GyroY	GyroZ	qW	qX	qY	qZ	HDR_AccX	HDR_AccY	HDR_AccZ
0	79217	841	-24	639	255	-378	-397	-265.75	-335.125	-29.8125	0.7617733	0.2242608	-0.5472599	0.2644145	0	0	0
15	79237	1010	6	101	254	-380	-390	0.5	10.625	1.5	0.7307348	0.2355198	-0.5827377	0.2664092	0	0	0
31	79257	1004	0	79	261	-377	-397	-4.5625	-0.75	1.9375	0.7171893	0.2390857	-0.598356	0.2654196	0	0	0
15	79277	1015	8	93	255	-378	-392	-1.5	5.25	1.3125	0.7106477	0.2409613	-0.6053706	0.2654129	0	0	0
15	79297	1002	10	90	250	-381	-392	-0.625	5.75	0.8125	0.7065496	0.2423725	-0.6095246	0.2655618	0	0	0
15	79317	1015	10	90	253	-383	-400	-1.8125	4.125	0.4375	0.7042868	0.2426113	-0.6121873	0.2652296	0	0	0
15	79337	1013	10	101	253	-376	-394	-1.375	3.875	0.9375	0.7026174	0.2429733	-0.6140921	0.2649221	0	0	0
31	79357	1014	4	99	259	-384	-389	-2.375	2.25	1.9375	0.7012174	0.2430587	-0.615482	0.2653272	0	0	0
15	79377	995	5	95	254	-375	-392	-2.9375	1	1.375	0.7001719	0.2426847	-0.6169019	0.2651328	0	0	0
15	79397	996	5	80	260	-375	-395	-2.0625	3.375	0.375	0.6991253	0.2427727	-0.6181991	0.2647927	0	0	0
31	79416	1003	5	95	256	-378	-394	2.375	9	-0.875	0.698781	0.2433183	-0.6183368	0.2648794	0	0	0
15	79436	1010	14	84	260	-377	-393	0.6875	5.3125	-0.4375	0.6985038	0.2438018	-0.6184579	0.2648832	0	0	0
31	79456	1016	19	90	265	-378	-395	-0.375	4.75	0.0625	0.6983573	0.2440845	-0.6185961	0.264686	0	0	0
15	79476	1012	12	108	257	-381	-392	0.25	5.6875	0.75	0.6982763	0.244057	-0.6185073	0.2651322	0	0	0
15	79496	1006	10	103	262	-378	-398	-0.3125	3.625	1.25	0.6981649	0.2437225	-0.618742	0.2651856	0	0	0
15	79516	1002	12	96	257	-381	-399	-1.8125	1	0.75	0.6978646	0.243626	-0.6192278	0.2649311	0	0	0
31	79536	1007	13	98	255	-372	-397	-1.5	2.25	0.8125	0.6978055	0.2431749	-0.6196254	0.2645711	0	0	0
15	79556	1004	12	96	258	-376	-402	-1.0625	2.75	1	0.6977588	0.2428233	-0.6199558	0.2642428	0	0	0
15	79580	1007	10	92	258	-381	-397	-1.1875	3.3125	1	0.6975128	0.2427696	-0.6202764	0.2641893	0	0	0
15	79600	1002	13	104	259	-380	-395	0.3125	6.6875	1.5625	0.6975716	0.2427411	-0.6201006	0.2644729	0	0	0
15	79620	1009	11	105	257	-378	-396	2.0625	7.625	0.8125	0.6980351	0.2427034	-0.6194518	0.2648052	0	0	0
31	79639	1010	17	108	260	-383	-394	-2.125	0.3125	2	0.6979547	0.2424619	-0.6195879	0.2649193	0	0	0
15	79659	1005	12	106	260	-381	-398	-2.5	0.9375	1.8125	0.6976875	0.2423299	-0.6199639	0.2648644	0	0	0
15	79679	1010	10	95	262	-385	-400	-5.125	-4.3125	3.0625	0.6970539	0.241845	-0.6209349	0.264701	0	0	0
31	79699	996	19	100	257	-377	-402	-0.3125	4.375	1.3125	0.6968524	0.2417526	-0.6212694	0.2645313	0	0	0
15	79719	1010	13	92	259	-382	-395	-1.25	1.875	2	0.6967988	0.2418603	-0.6212099	0.2647136	0	0	0
15	79739	1013	18	108	257	-383	-399	-1.375	2.75	2.0625	0.696743	0.2421386	-0.6210577	0.2649632	0	0	0
15	79759	996	16	107	264	-382	-399	-2	0.875	2.5625	0.6968235	0.2418542	-0.6210108	0.2651209	0	0	0
31	79779	1005	0	103	260	-382	-394	-5.4375	-3.125	3.5	0.6964898	0.2412585	-0.6216385	0.2650694	0	0	0
15	79799	991	13	83	259	-380	-395	-2.8125	-1.5625	2.1875	0.6955786	0.2411266	-0.6228342	0.2647752	0	0	0
15	79819	1012	5	107	259	-380	-396	-2.125	2.125	0.6875	0.6957806	0.2409116	-0.6226832	0.2647952	0	0	0
31	79838	1018	9	98	256	-382	-401	-4.125	-2.5	2.375	0.695414	0.24058	-0.6233562	0.2644765	0	0	0
15	79858	1008	20	100	262	-381	-400	-4.8125	-4.4375	3.25	0.6948762	0.2404607	-0.6242219	0.2639559	0	0	0
15	79878	1010	16	98	254	-379	-397	-3	-1	2.8125	0.694535	0.2402884	-0.6247939	0.2636575	0	0	0
15	79898	1005	12	89	256	-377	-394	-4.25	-3.1875	3.5	0.6939893	0.240069	-0.6255612	0.2634748	0	0	0
31	79918	1018	4	82	256	-384	-398	-3.5	-0.9375	2.6875	0.6933174	0.2399478	-0.6263525	0.263474	0	0	0
15	79938	990	10	99	253	-383	-399	-3	-0.625	2.5	0.6931075	0.2397828	-0.6266168	0.2635482	0	0	0
15	79958	1000	6	93	251	-379	-409	-2.5	2.25	0.9375	0.6933225	0.2394255	-0.6266289	0.2632785	0	0	0
31	79978	1011	2	98	246	-384	-401	-2	1.8125	1	0.6934372	0.2393108	-0.6265464	0.2632773	0	0	0
15	79998	1008	8	82	252	-377	-402	-3.8125	-0.875	1.8125	0.6931292	0.2391621	-0.6270992	0.2629066	0	0	0
15	80018	999	4	95	251	-382	-397	-2.375	1.625	1.25	0.6929103	0.23931	-0.6272713	0.2629386	0	0	0
15	80038	1005	5	88	256	-382	-398	-3.5625	0.125	0.4375	0.6927779	0.2394618	-0.627381	0.2628876	0	0	0
31	80057	1016	8	92	249	-376	-406	-1.9375	1.5	0.1875	0.6928037	0.2395771	-0.6274043	0.262659	0	0	0
15	80077	1009	12	89	258	-381	-402	-1.9375	2.625	0.8125	0.6928412	0.2396802	-0.6273682	0.2625523	0	0	0
